Num,Coordinate_384w,Coordinate_96w,Identity,Number,Plate,Conc x Dil
292,D19,B10,JT_TM_5t,1 cell,3,0.71
294,F19,C10,JT_RG_1,1 cell,3,0.74
296,H19,D10,JT_RG_1,1 cell,3,0.67
298,J19,E10,JT_TM_6,1 cell,3,0.68
300,L19,F10,JT_TM_6,1 cell,3,0.97
302,N19,G10,JT_RG_2,1 cell,3,0.84
304,P19,H10,JT_RG_2,1 cell,3,0.92
322,B21,A11,JT_TM_5,1 cell,3,0.7
324,D21,B11,JT_TM_5t,1 cell,3,0.68
326,F21,C11,JT_RG_1,1 cell,3,0.67
328,H21,D11,JT_RG_1,1 cell,3,0.66
330,J21,E11,JT_TM_6,1 cell,3,0.67
332,L21,F11,JT_TM_6,1 cell,3,1.41
334,N21,G11,JT_RG_2,1 cell,3,1.26
336,P21,H11,JT_RG_2,1 cell,3,1.43
354,B23,A12,JT_TM_5,1 cell,3,0.71
356,D23,B12,JT_TM_5t,1 cell,3,0.7
358,F23,C12,JT_RG_1,1 cell,3,0.67
360,H23,D12,JT_RG_1,1 cell,3,0.64
362,J23,E12,JT_TM_6,1 cell,3,0.68
366,N23,G12,JT_RG_2,1 cell,3,0.53
368,P23,H12,JT_RG_2,1 cell,3,0.53
46,N3,G2,JT_RG_2,11 cells,3,0.77
10,J1,E1,TM_6_HT,43 cells,3,0.68
1,A1,A1,JT_CT_1,50 cells,1,0.68
5,E1,C1,RG_1_HT,50 cells,1,0.82
9,I1,E1,TM_6_HT,50 cells,1,1.14
13,M1,G1,RG_2_HT,50 cells,1,1.05
33,A3,A2,TM_5_HT,50 cells,1,1.31
37,E3,C2,JT_RG_1,50 cells,1,1.26
41,I3,E2,JT_TM_6,50 cells,1,1.22
65,A5,A3,JT_TM_5,50 cells,1,1.61
17,A2,A1,JT_CT_1,50 cells,2,1.35
49,A4,A2,TM_5_HT,50 cells,2,2
55,G4,D2,JT_TMT_2,50 cells,2,0.89
81,A6,A3,JT_TMT_1,50 cells,2,1.32
87,G6,D3,JT_TMT_2,50 cells,2,1.18
2,B1,A1,JT_CT_1,50 cells,3,1.29
6,F1,C1,RG_1_HT,50 cells,3,0.68
14,N1,G1,RG_2_HT,50 cells,3,0.83
34,B3,A2,TM_5_HT,50 cells,3,0.67
42,J3,E2,JT_TM_6,50 cells,3,1.02
66,B5,A3,JT_TM_5,50 cells,3,2.76
31,O2,H1,EMPTY,NA,2,0.66
61,M4,G2,EMPTY,NA,2,0.66
63,O4,H2,EMPTY,NA,2,0.66
93,M6,G3,EMPTY,NA,2,0.66
95,O6,H3,EMPTY,NA,2,0.66
125,M8,G4,EMPTY,NA,2,0.67
127,O8,H4,EMPTY,NA,2,0.65
157,M10,G5,EMPTY,NA,2,0.67
159,O10,H5,EMPTY,NA,2,0.66
189,M12,G6,EMPTY,NA,2,0.67
191,O12,H6,EMPTY,NA,2,0.66
221,M14,G7,EMPTY,NA,2,0.65
223,O14,H7,EMPTY,NA,2,0.67
253,M16,G8,EMPTY,NA,2,0.68
255,O16,H8,EMPTY,NA,2,0.67
285,M18,G9,EMPTY,NA,2,0.84
287,O18,H9,EMPTY,NA,2,0.84
317,M20,G10,EMPTY,NA,2,1.34
319,O20,H10,EMPTY,NA,2,1.14
349,M22,G11,EMPTY,NA,2,1.67
351,O22,H11,EMPTY,NA,2,1.68
381,M24,G12,EMPTY,NA,2,NA
383,O24,H12,EMPTY,NA,2,NA
363,K23,F12,EMPTY,0 cell,1,0.67
