Pos	cDNA	Gene	Name	Cp	Status	Well
E5	MU041_DN	OLIG2	MU041_DNOLIG2	34.76		E5
E6	MU041_DN	OLIG2	MU041_DNOLIG2	34.87		E6
E7	MU041_DN	POU5F1	MU041_DNPOU5F1	29.95		E7
E8	MU041_DN	POU5F1	MU041_DNPOU5F1			E8
E9	MU041_DN	PROM1	MU041_DNPROM1	27.06		E9
E10	MU041_DN	PROM1	MU041_DNPROM1	27.17		E10
E11	MU041_DN	SOX2	MU041_DNSOX2	24.67		E11
E12	MU041_DN	SOX2	MU041_DNSOX2	24.6		E12
E13	MU041_DN	TUBB3	MU041_DNTUBB3	30.88		E13
E14	MU041_DN	TUBB3	MU041_DNTUBB3	31.2		E14
E15	MU041_DN	VIM	MU041_DNVIM	19.29		E15
E16	MU041_DN	VIM	MU041_DNVIM	19.29		E16
E17	NA	NA	NANA			E17
E18	NA	NA	NANA			E18
E19	NA	NA	NANA	31.12		E19
E20	NA	NA	NANA			E20
E21	NA	NA	NANA			E21
E22	NA	NA	NANA			E22
E23	NA	NA	NANA			E23
E24	NA	NA	NANA			E24
F1	MU041_44	CD44	MU041_44CD44	28.51		F1
F2	MU041_44	CD44	MU041_44CD44	28.42		F2
F3	MU041_44	GAPDH	MU041_44GAPDH	19.61		F3
F4	MU041_44	GAPDH	MU041_44GAPDH	19.6		F4
F5	MU041_44	OLIG2	MU041_44OLIG2	37.86		F5
F6	MU041_44	OLIG2	MU041_44OLIG2	37.72		F6
F7	MU041_44	POU5F1	MU041_44POU5F1			F7
F8	MU041_44	POU5F1	MU041_44POU5F1			F8
F9	MU041_44	PROM1	MU041_44PROM1	30.82		F9
F10	MU041_44	PROM1	MU041_44PROM1	31.75		F10
F11	MU041_44	SOX2	MU041_44SOX2	25.69		F11
F12	MU041_44	SOX2	MU041_44SOX2	25.78		F12
F13	MU041_44	TUBB3	MU041_44TUBB3	31.66		F13
F14	MU041_44	TUBB3	MU041_44TUBB3	31.76		F14
F15	MU041_44	VIM	MU041_44VIM	29.42		F15
F16	MU041_44	VIM	MU041_44VIM	30.29		F16
F17	NA	NA	NANA			F17
F18	NA	NA	NANA			F18
F19	NA	NA	NANA			F19
F20	NA	NA	NANA			F20
F21	NA	NA	NANA			F21
F22	NA	NA	NANA			F22
F23	NA	NA	NANA			F23
F24	NA	NA	NANA			F24
G1	MU041_133	CD44	MU041_133CD44	31.88		G1
G2	MU041_133	CD44	MU041_133CD44	32.79		G2
G3	MU041_133	GAPDH	MU041_133GAPDH	16.52		G3
G4	MU041_133	GAPDH	MU041_133GAPDH	16.7		G4
G5	MU041_133	OLIG2	MU041_133OLIG2	33.55		G5
G6	MU041_133	OLIG2	MU041_133OLIG2	33.26		G6
G7	MU041_133	POU5F1	MU041_133POU5F1			G7
G8	MU041_133	POU5F1	MU041_133POU5F1			G8
G9	MU041_133	PROM1	MU041_133PROM1	23.78		G9
