"cDNA","Gene","rep1","rep2","meanCp","sdCp","reps"
"MU041_DN","POU5F1",29.95,NA,29.95,NA,2
"MU041_DN","PROM1",27.06,27.17,27.115,0.0777817459305223,2
"MU041_DN","SOX2",24.67,24.6,24.635,0.0494974746830585,2
"MU041_DN","TUBB3",30.88,31.2,31.04,0.226274169979695,2
"MU041_DN","VIM",19.29,19.29,19.29,0,2
"MU041_DP","CD44",32.77,31.68,32.225,0.770746391493339,2
"MU041_DP","GAPDH",21.12,21.17,21.145,0.0353553390593279,2
"MU041_DP","OLIG2",40,40,40,0,2
"MU041_DP","POU5F1",NA,29.64,29.64,NA,2
"MU041_DP","PROM1",29.13,30.21,29.67,0.763675323681473,2
"MU041_DP","SOX2",27.24,27.66,27.45,0.296984848098351,2
"MU041_DP","TUBB3",34.02,34.58,34.3,0.395979797464463,2
"MU041_DP","VIM",23.98,24.13,24.055,0.106066017177981,2
"MU041_fcs","BIIITUB",30.75,30.87,30.81,0.0848528137423864,2
"MU041_fcs","GAPDH",18.65,18.72,18.685,0.0494974746830585,2
"MU041_fcs","GFAP",23.82,23.58,23.7,0.169705627484773,2
"MU041_fcs","NES",28.13,28.13,28.13,0,2
"MU041_fcs","OLIG2",40,40,40,0,2
"MU041_fcs","POU5F1",22.84,22.67,22.755,0.120208152801712,2
"MU041_fcs","PROM1",27.09,27.34,27.215,0.176776695296637,2
"MU041_fcs","SOX2",25.7,25.1,25.4,0.424264068711927,2
