"PDGC","Subpopulation","cDNA","Gene","rep1","rep2","meanCp","sdCp","reps","ddCT","foldChange"
"MU039","neg","MU039_neg","GAPDH",18.87,18.97,18.92,0.0707106781186532,2,0,1
"MU039","neg","MU039_neg","GFAP",30.7,30.97,30.835,0.190918830920368,2,1.45,2.73208051350878
"MU039","neg","MU039_neg","NES",27.48,27.87,27.675,0.275771644662754,2,-2.31,0.201660439805531
"MU039","neg","MU039_neg","OLIG2",34.33,34.69,34.51,0.254558441227157,2,0.684999999999999,1.6077019814863
"MU039","neg","MU039_neg","POU5F1",25.98,26.53,26.255,0.388908729652602,2,-1.935,0.261521234948132
"MU039","neg","MU039_neg","PROM1",27.85,27.74,27.795,0.0777817459305223,2,2.225,4.67510899424499
"MU039","neg","MU039_neg","SOX2",25.02,25.04,25.03,0.0141421356237306,2,-0.235000000000003,0.849684999138648
"MU039","pos","MU039_pos","BIIITUB",36.03,34.51,35.27,1.07480230740355,2,-3.18999999999999,0.109575715164505
"MU039","pos","MU039_pos","GAPDH",20.31,20.43,20.37,0.0848528137423864,2,-1.45,0.366021423986407
"MU039","pos","MU039_pos","GFAP",30.07,30.56,30.315,0.346482322781407,2,1.97,3.9176811903477
"MU039","pos","MU039_pos","NES",29.02,29.11,29.065,0.0636396103067892,2,-3.7,0.0769465258340573
"MU039","pos","MU039_pos","OLIG2",34.74,34.87,34.805,0.091923881554248,2,0.389999999999997,1.31039340385836
"MU039","pos","MU039_pos","POU5F1",26.52,26.57,26.545,0.0353553390593279,2,-2.225,0.21389875642065
"MU039","pos","MU039_pos","PROM1",26.07,25.85,25.96,0.15556349186104,2,4.06,16.679452173458
"MU039","pos","MU039_pos","SOX2",25.91,24.93,25.42,0.692964645562817,2,-0.625000000000004,0.648419777325503
"MU041","133","MU041_133","CD44",31.88,32.79,32.335,0.643467170879758,2,0.479999999999997,1.3947436663504
"MU041","133","MU041_133","GAPDH",16.52,16.7,16.61,0.127279220613578,2,2.995,7.97232210262295
"MU041","133","MU041_133","GAPDH",16.52,16.7,16.61,0.127279220613578,2,2.31,4.95883079975595
"MU041","133","MU041_133","OLIG2",33.55,33.26,33.405,0.205060966544098,2,1.41,2.65737162819302
"MU041","133","MU041_133","OLIG2",33.55,33.26,33.405,0.205060966544098,2,2.55499999999999,5.87667453311321
"MU041","133","MU041_133","POU5F1",NA,NA,NA,NA,2,NA,NA
"MU041","133","MU041_133","PROM1",23.78,23.98,23.88,0.141421356237309,2,4.935,30.5902501629997
"MU041","133","MU041_133","PROM1",23.78,23.98,23.88,0.141421356237309,2,4.6,24.2514650641663
